ticker,name,etf,test,price,ret_5,ret_20,ret_60,ret_120,drawdown_52,off_low_52,ma20,ma50,vol_ratio,dollar_volume,volatility,retrieved_at,market_cap,avg_volume,revenue_growth,earnings_growth,earnings_q_growth,forward_pe,target_upside,recommendation,sector,industry,sector_rs_60,industry_rs_60,spy_rs_20,spy_rs_60,spy_rs_120,leadership_momentum,leadership_coverage,beaten_down_reversal,reversal_coverage,acceleration_emerging_momentum,acceleration_coverage,data_confidence,best_lens,lens_winner,lens_data_missing,risk_score,final_quant_score,biotech_review,crypto_proxy_review,special_risk_review
BMNR,"BitMine Immersion Technologies, Inc. Common Stock",N,N,25.02560043334961,0.07084294114944156,0.38339415269543475,0.5534202039240943,0.16887438634776686,-0.6040343247336805,0.8802103414261422,0.1068974325921297,0.3235797781329688,1.0422288385371097,984105797.3646324,0.8286576293245264,2026-09-09T14:14:34.135585+00:00,14999223296.0,38671370.0,21.678,,,26.452127,0.3486157249145385,1.0,Financial Services,Capital Markets,0.511165631810448,0.5494967736610255,0.39230324511669423,0.5211823086752476,0.00812642420488996,91.83607612238961,0.8300000000000002,92.67128424200813,0.8300000000000001,92.05423142278555,0.77,0.802,92.67128424200813,beaten_down_reversal,False,57.09763948497854,91.7111586887371,False,False,False
PURR,Hyperliquid Strategies Inc - Common Stock,N,N,11.960000038146973,0.053280538996084426,0.8203956964467793,0.37471267820144916,0.874608122823683,-0.06780981221609983,2.858064647122803,0.1559743868128225,0.4304680112234609,1.7000320920951832,278148313.7114812,1.0673846537047242,2026-09-09T14:06:17.956819+00:00,2378008064.0,15857222.0,,,,40.745766,0.6528011647254575,1.33333,Financial Services,Capital Markets,0.3324581060878029,0.3707892479383803,0.8293047888680388,0.3424747829526025,0.7138601606808062,88.5638259450489,0.7200000000000001,77.61493529041165,0.7300000000000002,91.95721613101522,0.6700000000000002,0.6932500000000001,91.95721613101522,acceleration_emerging_momentum,False,49.957081545064376,89.30882074024996,False,False,False
FIGR,"Figure Technology Solutions, Inc. - Class A Common Stock",N,N,39.20000076293945,0.16320474407966357,0.4080459966985879,0.4035087839105822,0.16389549904236156,-0.46962523581857585,0.5736652349683546,0.08674561187863161,0.21901542759168624,0.9203315902309923,170394023.57454777,0.8519059950108251,2026-09-09T13:58:40.855176+00:00,8811319296.0,4078229.0,1.208,3.375,1.921,26.41474,0.32416603004838285,,Financial Services,Capital Markets,0.36125421179693595,0.39958535364751335,0.41695508911984736,0.3712708886617355,0.0031475368994846598,87.8237393977949,0.9700000000000001,89.05354773923058,1.0000000000000002,83.3536138557906,1.0,0.95625,89.05354773923058,beaten_down_reversal,False,59.72818311874105,89.0977648639919,False,False,False
OABI,"OmniAb, Inc. - Common Stock",N,N,4.210000038146973,-0.05180180543003676,0.24556209929103634,0.854625583048964,1.3131867674810431,-0.16468252579130838,2.0955882307825204,-0.014513100344692886,0.37482856803326947,1.2969012652964085,10660862.334238768,1.0882022490307506,2026-09-09T14:03:13.411604+00:00,614274432.0,1241279.0,2.442,,,-14.322034,0.9881656804733729,1.0,Healthcare,Biotechnology,0.7039664117955458,0.6323566298932877,0.2544711917122958,0.8223876878001173,1.1524388053381662,90.50302361388113,0.7900000000000001,81.41514335951223,0.8,79.13882412450072,0.74,0.7825,90.50302361388113,leadership_momentum,False,57.62964949928469,88.41818717628449,True,False,True
BULL,Webull Corporation - Class A Ordinary Shares,N,N,9.619999885559082,0.05366919660199465,0.270805768482274,0.4709480033136537,0.8393881167257242,-0.3813504972629548,1.077753703623983,0.08241912963077347,0.20503055318928198,1.2282970385426315,165320687.63181433,0.5932997075529146,2026-09-09T13:54:04.713566+00:00,5231619584.0,13038051.0,0.533,,,30.777777,0.34089736977823626,1.5,Technology,Software - Application,0.45896444674540715,0.27373478472161294,0.2797148609035335,0.43871010806480704,0.6786401545828473,87.13355345912123,0.8300000000000002,87.55983530410306,0.8300000000000001,88.34529782505899,0.77,0.802,88.34529782505899,acceleration_emerging_momentum,False,54.10407725321888,87.65529456409125,False,False,False
AYA,Aya Gold & Silver Inc. - Common Shares,N,N,29.885000228881836,0.13329538406456187,0.07345546210795728,0.5972742753196212,1.1165014497943488,0.0,2.230810835554793,0.08062664957137722,0.26712430471470094,1.4328015723990037,29892494.31692772,0.7736625388256766,2026-09-09T13:53:31.703595+00:00,4279314176.0,777170.0,1.507,2.833,2.92,12.917391,,,Basic Materials,Silver,0.5644111177898365,0.2852835584896123,0.08236455452921676,0.5650363800707745,0.955753487651472,88.97172906297185,0.93,75.13096827499821,0.9600000000000002,75.3080028799191,0.96,0.8865000000000001,88.97172906297185,leadership_momentum,False,54.722818311874114,87.29893881030223,False,False,False
DELL,Dell Technologies Inc. Class C Common Stock ,N,N,555.25,0.30647058823529405,0.25915594816641585,0.4059901454748731,2.738947361498963,0.0,4.02285393970924,0.1674027056645453,0.24842748633364953,1.5113333525371118,3951297193.0773497,0.7821535503990108,2026-09-09T14:16:46.884017+00:00,360305164288.0,7573603.0,0.577,2.729,2.551,19.492832,0.012254292759470875,1.82143,Technology,Computer Hardware,0.39400658890662654,0.5085079765428203,0.26806504058767533,0.37375225022602643,2.5781993993560857,87.24299563863276,1.0000000000000002,76.06779108770462,1.0000000000000002,84.0378467408364,1.0,1.0,87.24299563863276,leadership_momentum,False,42.233547925608015,87.273164737005,False,False,False
VSTM,"Verastem, Inc. - Common Stock",N,N,8.279999732971191,0.08804199575583604,0.17446801545520496,1.019512176967532,0.48920860039287617,-0.22180456148505734,1.3999998894290662,0.12545871514441576,0.30475886332471736,0.8966655501655292,14879368.117650557,0.7060100166591413,2026-09-09T14:09:54.972987+00:00,756204736.0,2475548.0,17.754,,,-11.133334,0.7964071856287427,1.11111,Healthcare,Biotechnology,0.8688530057141137,0.7972432238118556,0.18337710787646444,0.9872742817186853,0.32846063824999927,89.54660606677734,0.7900000000000001,83.5153159674156,0.8,68.48782950349691,0.74,0.7825,89.54660606677734,leadership_momentum,False,64.55650929899856,87.1304396423444,True,False,True
FWDI,"Forward Industries, Inc. - Common Stock",N,N,6.75,0.08695651506214164,0.5771027264277289,0.5771027264277289,0.3527054728676777,-0.8269230769230769,0.9067796815643707,0.20117447804617394,0.4093034879785844,1.396266547758895,11703471.790332317,0.9456526795795586,2026-09-09T13:59:06.209535+00:00,491820224.0,1551625.0,3.321,,,34.153847,0.27627627627627627,1.0,Consumer Cyclical,Footwear & Accessories,0.6232278558138208,0.7358665651821875,0.5860118188489883,0.5448648311788822,0.19195751072480083,85.11009319735545,0.8300000000000002,88.76560159997874,0.8300000000000001,86.56223005083268,0.77,0.802,88.76560159997874,beaten_down_reversal,False,73.20278969957081,87.01377926598137,False,False,False
SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",N,N,13.869999885559082,0.04916789753411721,0.2552035878866965,0.7713920843812991,1.8020202868690989,-0.1028460639498463,8.978417286547831,0.01835535278874234,0.08400024076192025,0.7591775843418648,96795070.19659662,1.1469900215619016,2026-09-09T14:07:44.258733+00:00,2845031424.0,8269088.0,,,,-140.881,1.306911506874596,,Healthcare,Biotechnology,0.6207329131278809,0.5491231312256228,0.264112680307956,0.7391541891324525,1.641272324726222,90.27165041329465,0.65,75.8672141433578,0.7000000000000002,79.55690692137202,0.6400000000000001,0.6300000000000001,90.27165041329465,leadership_momentum,False,53.1598712446352,86.85548409865245,True,False,True
ECO,Okeanis Eco Tankers Corp. Common Stock,N,N,70.93499755859375,0.04377572857856049,0.27423543375552284,0.4675210693138976,0.6936982297726888,-0.006929899824544172,1.9477766778877643,0.08225420430718433,0.23374429919072348,0.9445956954998262,32938067.03341217,0.5082514600284656,2026-09-09T14:17:18.359006+00:00,2766509312.0,500722.0,2.394,6.063,7.566,11.948567,0.058499753016724165,,Industrials,Marine Shipping,0.496629360616219,0.3614324972531626,0.2831445261767823,0.4352831740650509,0.5329502676298119,86.5721079106993,0.9700000000000001,74.17242951904865,1.0000000000000002,87.0502470662992,1.0,0.95625,87.0502470662992,acceleration_emerging_momentum,False,45.43991416309012,86.84912236948722,False,False,False
SMCI,"Super Micro Computer, Inc. - Common Stock",N,N,39.44499969482422,0.0745028787404245,0.24825946894465245,0.29497704794521074,0.2996704843176037,-0.32779482805583704,0.9213345531197505,0.04167904404769396,0.22785609703282939,0.6437147233698954,1883908696.0975208,0.9543353082078103,2026-09-09T14:07:45.594595+00:00,26265081856.0,56844872.0,0.932,4.347,5.037,7.506572,0.0603027649193042,,Technology,Computer Hardware,0.28299349137696417,0.39749487901315794,0.25716856136591193,0.26273915269636405,0.13892252217472678,85.93061529479395,0.9700000000000001,83.79725676745973,1.0000000000000002,84.74103779918573,1.0,0.95625,85.93061529479395,leadership_momentum,False,54.56187410586552,86.40984606278182,False,False,False
SBET,"Sharplink, Inc. - Common Stock",N,N,8.755000114440918,0.07423319315685406,0.40529696430770557,0.5889291743673124,0.11245238141689828,-0.5449584085971064,0.9199561895398449,0.12046073682729541,0.3111979922332653,0.7655513161696821,70828518.52185377,0.7413329455337914,2026-09-09T14:07:10.212060+00:00,1895276032.0,9382856.0,15.539,,,72.708336,0.7568561604584527,,Financial Services,Capital Markets,0.5466746022536662,0.5850057441042436,0.41420605672896504,0.5566912791184657,-0.048295580725978615,86.13945483251183,0.8000000000000002,87.0210330725066,0.8300000000000001,85.08024962873894,0.77,0.7582500000000001,87.0210330725066,beaten_down_reversal,False,62.20672389127325,86.06796905640539,False,False,False
