ticker,name,sector,market_cap,avg_daily_dollar_volume,previous_close,last_premarket,premarket_volume,premarket_dollar_volume,premarket_volume_intensity_pct,gap_pct,broad_qualifier,nasdaq_premarket_ok,strict_activity_pass,activity_score,positive_gap,premarket_rvol,premarket_volume_metric_source,premarket_volume_gate_pass,atr_pct,resistance_price,resistance_room_pct,market_relative_strength_pct,sector_relative_strength_pct,catalyst_quality,catalyst_headline,catalyst_age_hours,catalyst_source,bid,ask,spread_pct,spread_source,spread_order_authoritative,score,pts_catalyst_quality,pts_relative_premarket_volume,pts_gap_quality,pts_liquidity_dollar_volume,pts_room_to_resistance,pts_atr_suitability,pts_sector_market_relative_strength,pts_execution_spread,premarket_eligible,premarket_gate_count,premarket_grade,premarket_a_grade,premarket_failures,quote_data_degraded
GFS,GlobalFoundries Inc. - Ordinary Share,Technology,24770623488.0,168165260.15181637,42.93,44.6,312430.0,13934378.0,8.28612163262514,3.8900535755881815,True,True,True,6.221505422540746,True,,nasdaq_pm_volume_pct_adv,True,4.126521274877007,47.33000183105469,6.1210803386876345,2.458735996866601,1.9925925849939352,0.9,"GlobalFoundries, Marvell Expand Partnership For Next-Gen Optical Connectivity (GFS) (RTTNews) - GlobalFoundries Inc. (GFS), a semiconductor manufacturer, and Marvell Technology, In",1.0833333333333333,Nasdaq company news,46.3,46.36,0.12950571983596434,Nasdaq quote,True,80.836,22.5,16.572,15.0,8.168,7.651,3.752,3.272,3.921,True,6,B,False,,False
MRVL,"Marvell Technology, Inc. - Common Stock",Technology,205776404480.0,5370244990.01152,229.98,240.5,778802.0,187301881.0,3.4877716258452893,4.574310809635618,True,True,True,7.269651565578009,True,,nasdaq_pm_volume_pct_adv,True,5.645380793391047,247.67999267578125,2.985443940033794,3.1429932309140374,2.6768498190413714,0.9,"GlobalFoundries, Marvell Expand Partnership For Next-Gen Optical Connectivity (MRVL) (RTTNews) - GlobalFoundries Inc. (GFS), a semiconductor manufacturer, and Marvell Technology, I",1.0833333333333333,Nasdaq company news,246.79,246.99,0.08100773623881771,Nasdaq quote,True,76.49,22.5,6.976,15.0,15.0,3.732,5.0,3.957,4.325,False,5,REJECT,False,score80,False
IONQ,"IonQ, Inc. Common Stock",Technology,15184443392.0,746172108.8621365,36.8631,38.25,876060.0,33509295.0,4.490826526751245,3.762298884250104,True,True,True,6.477696792670312,True,,nasdaq_pm_volume_pct_adv,True,6.002427216003589,39.26499938964844,2.653593175551472,2.330981305528524,1.8648378936558578,0.8,"IonQ CEO Sells Over 16,000 Shares Worth Nearly $600,000 After the Company Raised Its Full-Year Sales Outlook - The Motley Fool",19.466666666666665,Google News RSS,39.08,39.1,0.05116398055769538,Nasdaq quote,True,73.896,20.0,8.982,15.0,13.878,3.317,5.0,3.145,4.574,False,5,REJECT,False,score80,False
LRCX,Lam Research Corporation - Common Stock,Technology,375590256640.0,2219901790.732947,269.8,280.0,455197.0,127455160.0,5.741477417247276,3.7805782060785775,True,True,True,6.839879964557307,True,,nasdaq_pm_volume_pct_adv,True,4.877548996283084,303.69000244140625,8.460715157645083,2.349260627356997,1.8831172154843312,0.39,"Top Stock Reports for Cisco, Lam Research & Thermo Fisher (LRCX) Cisco, Lam Research and Thermo Fisher headline today's research reports, with AI demand, customer activity and grow",25.083333333333332,Nasdaq company news,271.54,271.76,0.08098656359284757,Nasdaq quote,True,73.546,9.75,11.483,15.0,15.0,10.0,4.825,3.163,4.325,False,5,REJECT,False,score80,False
IREN,IREN Limited - Ordinary Shares,Financial Services,17149432832.0,1826451104.580104,42.63,45.64,2338261.0,106718232.04,5.842928495177768,7.060755336617408,True,True,True,7.93629335771011,True,,nasdaq_pm_volume_pct_adv,True,6.56081660901021,46.16999816894531,1.1612580388810523,5.629437757895827,6.343787698498327,0.6,"IREN Rebounds After Earnings Dip: Time to Buy or Hold the Stock? (IREN) IREN's AI cloud revenues surge as contracted demand grows, but heavy spending, execution risks and a premium",25.083333333333332,Nasdaq company news,43.04,43.05,0.023231501916594285,Nasdaq quote,True,72.944,15.0,11.686,15.0,15.0,1.452,5.0,5.0,4.806,False,5,REJECT,False,score80,False
HOOD,"Robinhood Markets, Inc. - Class A Common Stock",Financial Services,102457352192.0,2297666178.108345,104.44,109.91,1994689.0,219236267.99,9.541693657626798,5.237456913060123,True,True,True,7.458777886111258,True,,nasdaq_pm_volume_pct_adv,True,6.275980479723112,116.4000015258789,5.904832613846711,3.806139334338543,4.520489274941042,0.0,,inf,NO_VERIFIED_CATALYST,107.35,107.43,0.07449483192104712,Nasdaq quote,True,70.843,0.0,19.083,15.0,15.0,7.381,5.0,5.0,4.379,False,4,REJECT,False,"catalyst,score80",False
CLSK,"CleanSpark, Inc. - Common Stock",Financial Services,3257724672.0,219049231.1053978,12.79,13.49,968048.0,13058967.52,5.961658689281838,5.473025801407361,True,True,True,6.785826355878092,True,,nasdaq_pm_volume_pct_adv,True,6.631896441030538,14.029999732971191,4.002963179919883,4.041708222685781,4.756058163288279,0.6,CleanSpark (CLSK) Stock Could Trade Above Fair Value Following Texas Power Approval - Yahoo Finance,26.915555555555557,Google News RSS,12.96,12.97,0.07713073659853287,Nasdaq quote,True,70.465,15.0,11.923,15.0,9.181,5.004,5.0,5.0,4.357,False,5,REJECT,False,score80,False
FPS,"Forgent Power Solutions, Inc. Class A Common Stock",Industrials,9015661568.0,158165882.04246807,34.86,36.88,374962.0,13828598.56,8.743098310093814,5.794606999426288,True,True,True,6.881285187539546,True,,nasdaq_pm_volume_pct_adv,True,6.482413135004886,37.86000061035156,2.657268466246099,4.363289420704708,4.040117046252223,0.6400000000000001,Forgent Power Solutions (NYSE:FPS) Price Target Raised to $76.00 at TD Cowen - MarketBeat,23.600833333333334,Google News RSS,37.24,37.46,0.5890227576974535,Nasdaq quote,True,69.832,16.0,17.486,15.0,7.933,3.322,5.0,5.0,0.091,False,5,REJECT,False,score80,False
RKLB,Rocket Lab Corporation - Common Stock,Industrials,40864755712.0,1091232957.8013897,63.7,65.7,766717.0,50373306.9,4.616182689486567,3.139717425431709,True,True,True,6.3724748017805135,True,,nasdaq_pm_volume_pct_adv,True,4.526526908766681,67.55999755859375,2.8310465123192463,1.7083998467101287,1.3852274722576436,0.57,RKLB Stock Alert: What to Know as Rocket Lab Inches Closer to Iridium Acquisition - Barchart.com,40.22388888888889,Google News RSS,67.01,67.03,0.029841838257230704,Nasdaq quote,True,68.675,14.25,9.232,15.0,15.0,3.539,4.324,2.579,4.751,False,5,REJECT,False,score80,False
QCOM,QUALCOMM Incorporated - Common Stock,Technology,184021483520.0,1665226857.705185,185.4,190.6,301366.0,57440359.6,3.4494014634833223,2.8047464940668787,True,True,True,6.317603671832494,True,,nasdaq_pm_volume_pct_adv,True,4.23201215306345,191.89999389648438,0.682053460904708,1.3734289153452983,0.9072855034726324,0.76,QCOM Stock Jumps Over 4% — Qualcomm Reportedly Eyes Tenstorrent Acquisition To Power AI Chip Ambitions - Stocktwits,22.47222222222222,Google News RSS,189.19,189.35,0.0845353199133495,Nasdaq quote,True,67.138,19.0,6.899,15.0,15.0,0.853,3.903,2.187,4.296,False,5,REJECT,False,score80,False
