ticker,name,sector,market_cap,avg_daily_dollar_volume,previous_close,last_premarket,premarket_volume,premarket_dollar_volume,premarket_volume_intensity_pct,gap_pct,broad_qualifier,nasdaq_premarket_ok,strict_activity_pass,activity_score,positive_gap
NXPI,NXP Semiconductors N.V. - Common Stock,Technology,55400468480.0,661493769.85784,218.98,222.0,543181.0,120586182.0,18.229375316099333,1.3791213809480452,True,True,True,5.883381530112938,True
STLA,Stellantis N.V. Common Shares,Consumer Cyclical,15201803264.0,102694241.07480434,4.92,5.06,2152789.0,10893112.34,10.607325421554322,2.8455284552845406,True,True,True,5.764962569429281,True
CCXI,Churchill Capital Corp XI - Class A Ordinary Shares,Financial Services,724099968.0,32374611.08034153,12.11,12.58,267304.0,3362684.32,10.386794490457634,3.8810900082576483,True,True,True,5.797431159328801,True
MGNI,"Magnite, Inc. - Common Stock",Communication Services,3354691072.0,54215559.29541016,23.78,26.71,206680.0,5520422.8,10.182358850012553,12.321278385197655,True,True,True,8.893159776697159,True
NBIS,Nebius Group N.V. - Class A Ordinary Shares,Communication Services,58325491712.0,4363970412.483281,209.9,230.02,1833398.0,421718207.96000004,9.663635820116038,9.585516912815638,True,True,True,9.16416733753729,True
HOOD,"Robinhood Markets, Inc. - Class A Common Stock",Financial Services,102457352192.0,2297666178.108345,104.44,109.91,1994689.0,219236267.98999998,9.541693657626798,5.237456913060123,True,True,True,7.458777886111258,True
FPS,"Forgent Power Solutions, Inc. Class A Common Stock",Industrials,9015661568.0,158165882.04246807,34.86,36.88,374962.0,13828598.56,8.743098310093814,5.794606999426288,True,True,True,6.881285187539546,True
GFS,GlobalFoundries Inc. - Ordinary Share,Technology,24770623488.0,168165260.15181637,42.93,44.6,312430.0,13934378.0,8.28612163262514,3.8900535755881815,True,True,True,6.221505422540746,True
CRCL,"Circle Internet Group, Inc. Class A Common Stock",Financial Services,25261295616.0,1304925246.9227462,80.3863,83.0,1282532.0,106450156.0,8.157567358822204,3.2514246830616544,True,True,True,6.573331601808206,True
APLD,Applied Digital Corporation - Common Stock,Technology,7474347520.0,408403523.66514575,24.39,25.77,1166982.0,30073126.14,7.363581457406148,5.658056580565796,True,True,True,7.067718058455972,True
