rank,ticker,name,sector,market_cap,avg_daily_dollar_volume,previous_close,last_premarket,premarket_volume,premarket_dollar_volume,premarket_volume_intensity_pct,gap_pct,broad_qualifier,nasdaq_premarket_ok,strict_activity_pass,activity_score,positive_gap,premarket_rvol,premarket_volume_metric_source,premarket_volume_gate_pass,atr_pct,resistance_price,resistance_room_pct,market_relative_strength_pct,sector_relative_strength_pct,catalyst_quality,catalyst_headline,catalyst_age_hours,catalyst_source,bid,ask,spread_pct,spread_source,score,pts_catalyst_quality,pts_relative_premarket_volume,pts_gap_quality,pts_liquidity_dollar_volume,pts_room_to_resistance,pts_atr_suitability,pts_sector_market_relative_strength,pts_execution_spread,premarket_gate_count,premarket_a_grade,premarket_failures,premarket_grade,frozen_at_et,runtime_seconds
1,OXY,Occidental Petroleum Corporation Common Stock,Energy,60608016384.0,402224136.8560394,61.02999877929688,62.86,327558.0,20590295.88,5.119109967129969,2.9985273755632313,True,True,True,6.061526371464702,True,,nasdaq_pm_volume_pct_adv,True,2.2706088875073487,,10.0,2.9985273755632313,2.9985273755632313,0.95,Occidental Petroleum Corporation $OXY Shares Acquired by Engineers Gate Manager LP - MarketBeat,4.9558152600000005,Google News RSS,62.8,62.94,0.22268172419277968,Nasdaq quote,78.742,23.75,10.238,15.0,11.51,10.0,1.101,3.999,3.144,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
2,PLTR,Palantir Technologies Inc. - Class A Common Stock,Technology,402392121344.0,5083850810.690836,165.27499389648438,169.1,971392.0,164262387.2,3.231062305262232,2.314328388910014,True,True,True,6.448245654127067,True,,nasdaq_pm_volume_pct_adv,True,4.515080453173841,182.19000244140625,7.740983111417066,2.314328388910014,2.314328388910014,0.8,Palantir Grew Revenue 85% and Raised Full-Year Guidance by 10 Points — So Why Is PLTR Down 26% YTD? - TradingKey,16.53081526,Google News RSS,168.69,168.86,0.1007258183972839,Nasdaq quote,77.92,20.0,6.462,15.0,15.0,9.676,4.307,3.314,4.161,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
3,CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",Technology,217033244672.0,2103135068.7293687,206.1699981689453,218.5,658243.0,143826095.5,6.838652335672099,5.980502469108484,True,True,True,7.6287762580028025,True,,nasdaq_pm_volume_pct_adv,True,6.118307522053265,233.8800048828125,7.038903836527455,5.980502469108484,5.980502469108484,0.39,CrowdStrike Expands AI Capabilities With Autonomous Product Launch. What This Means for CRWD Stock. - barchart.com,24.30470414888889,Google News RSS,219.0,219.32,0.1460120459937914,Nasdaq quote,76.009,9.75,13.677,15.0,15.0,8.799,5.0,5.0,3.783,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
4,RBLX,Roblox Corporation Class A Common Stock,Communication Services,32082622464.0,393860505.6976574,44.4900016784668,47.01,316553.0,14881156.53,3.7782809686999568,5.664190214568787,True,True,True,6.929221570145055,True,,nasdaq_pm_volume_pct_adv,True,4.160968535802899,58.43000030517578,24.292704329240134,5.664190214568787,5.664190214568787,0.8,RBLX Maintained by B of A Securities -- Price Target Raised to $48 - GuruFocus,0.9172041488888889,Google News RSS,47.32,47.47,0.31648908112669816,Nasdaq quote,75.15,20.0,7.557,15.0,11.429,10.0,3.801,5.0,2.363,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
5,RUM,RUM Group Inc. - Class A Common Stock,Communication Services,3616935424.0,37001642.47222655,7.320000171661377,7.8831,4278622.0,33728805.088199995,91.15488620138106,7.6926204253191965,True,True,True,7.593661779416843,True,,nasdaq_pm_volume_pct_adv,True,9.017482372909678,9.210000038146973,16.83221116244844,7.6926204253191965,7.6926204253191965,0.65,Anthropic is the $13.7 billion GPU customer in Trump-linked RUM Group's deal: report - techi.com,11.705259704444444,Google News RSS,7.78,7.82,0.5128205128205132,Nasdaq quote,74.343,16.25,20.0,15.0,2.367,10.0,5.0,5.0,0.726,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
6,BWIN,"The Baldwin Insurance Group, Inc. - Class A Common Stock",Financial Services,2763772928.0,28240835.3331852,28.540000915527344,31.87,2965907.0,94523456.09,334.7048873548281,11.667831035916176,True,True,True,9.162909186897874,True,,nasdaq_pm_volume_pct_adv,True,3.555740212126675,32.59000015258789,2.2591783890426376,11.667831035916176,11.667831035916176,0.95,The Baldwin Group buyout could reignite momentum in the insurance brokerage sector - marketscreener.com,4.904426371111112,Google News RSS,31.86,31.88,0.06275494195167737,Nasdaq quote,74.318,23.75,20.0,13.999,1.331,2.824,2.937,5.0,4.477,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
7,UBER,"Uber Technologies, Inc. Common Stock",Technology,144041328640.0,1122980851.0548005,69.45999908447266,71.64,406785.0,29142077.4,2.5950644993302645,3.138498336108775,True,True,True,6.267583116090558,True,,nasdaq_pm_volume_pct_adv,True,3.5070188214564575,76.86000061035156,7.286433012774385,3.138498336108775,3.138498336108775,0.76,UBER Reportedly Eyeing €12.5B Delivery Hero Takeover To Challenge DoorDash - Stocktwits,16.549981926666668,Google News RSS,71.72,71.99,0.375756732308115,Nasdaq quote,72.172,19.0,5.19,15.0,15.0,9.108,2.867,4.138,1.869,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
8,IBM,International Business Machines Corporation Common Stock,Technology,222904287232.0,1067306756.0198884,238.1300048828125,249.0001,146969.0,36595295.6969,3.428751433502411,4.564773398689015,True,True,True,6.806869908552783,True,,nasdaq_pm_volume_pct_adv,True,2.5487656460354726,309.5792143346339,24.32895180951087,4.564773398689015,4.564773398689015,0.57,"449,621 Shares in International Business Machines Corporation $IBM Acquired by Alyeska Investment Group L.P. - MarketBeat",30.176648593333336,Google News RSS,248.86,249.37,0.2047247255283668,Nasdaq quote,70.9,14.25,6.858,15.0,15.0,10.0,1.498,5.0,3.294,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
9,SHOP,Shopify Inc. - Class A Subordinate Voting Shares,Technology,163783344128.0,1003385051.3039132,126.81999969482422,130.0,271973.0,35356490.0,3.52372102355459,2.5074911787005494,True,True,True,6.0747265526856,True,,nasdaq_pm_volume_pct_adv,True,4.796099819979825,149.42999267578125,14.94614821213942,2.5074911787005494,2.5074911787005494,0.52,Shopify Stock Rallies Following Bullish Bernstein Coverage Launch - TIKR.com,23.756370815555556,Google News RSS,129.5,130.0,0.3853564547206166,Nasdaq quote,70.052,13.0,7.047,15.0,15.0,10.0,4.709,3.507,1.789,6,True,,A,2026-09-14T09:24:21.471009-04:00,362.535
10,DFTX,"Definium Therapeutics, Inc.  - Common Shares",Healthcare,5082429952.0,68626040.92979431,37.5,44.0456,507896.0,22370584.0576,32.59780653889901,17.454933333333344,True,True,True,10.124652584308103,True,,nasdaq_pm_volume_pct_adv,True,4.267330606725983,47.290000915527344,7.3660045850830524,17.454933333333344,17.454933333333344,1.0,DFTX Stock Jumps Overnight As Investors Brace For Phase 3 Results From LSD-Based Anxiety Drug - Stocktwits,11.92192637111111,Google News RSS,43.33,43.78,1.033176443577093,Nasdaq quote,76.949,25.0,20.0,9.054,4.734,9.208,3.953,5.0,0.0,5,False,spread,B,2026-09-14T09:24:21.471009-04:00,362.535
11,SRRK,Scholar Rock Holding Corporation - Common Stock,Healthcare,6648258560.0,60194894.26186371,54.44499969482422,57.36,125524.0,7200056.64,11.961241444627927,5.354027590256183,True,True,True,6.515622748562165,True,,nasdaq_pm_volume_pct_adv,True,4.217099753906347,57.790000915527344,0.7496529210727854,5.354027590256183,5.354027590256183,1.0,Scholar Rock Wins FDA Approval for SMA Therapy - TipRanks,0.6891485933333333,Google News RSS,57.33,58.0,1.1618832914246107,Nasdaq quote,74.05,25.0,20.0,15.0,4.231,0.937,3.882,5.0,0.0,5,False,spread,B,2026-09-14T09:24:21.471009-04:00,362.535
12,FIG,"Figma, Inc. Class A Common Stock",Technology,11726217216.0,380213739.0042237,21.709999084472656,23.9775,455815.0,10929304.1625,2.8745158423584973,10.444500281665592,True,True,True,8.538947290432091,True,,nasdaq_pm_volume_pct_adv,True,6.979162430197536,25.020000457763672,4.347827996094966,10.444500281665592,10.444500281665592,1.0,"Nebius Stock Gets A Double Boost Overnight From Cloud Price Hike Buzz, Nvidia Outlook - Stocktwits",10.636370815555555,Google News RSS,23.78,24.0,0.9208874005860145,Nasdaq quote,72.211,25.0,5.749,14.733,11.294,5.435,5.0,5.0,0.0,5,False,spread,B,2026-09-14T09:24:21.471009-04:00,362.535
13,SYRE,"Spyre Therapeutics, Inc. - Common Stock",Healthcare,7623794176.0,104137135.66871414,87.33000183105469,89.9,121407.0,10914489.3,10.480881032412565,2.942858256108982,True,True,True,5.8006230540011625,True,,nasdaq_pm_volume_pct_adv,True,5.687668159469102,92.0999984741211,2.4471618177097643,2.942858256108982,2.942858256108982,0.6,Will Phase 2 UC Data Change Spyre Therapeutics Stock Narrative - simplywall.st,35.545815260000005,Google News RSS,89.5,96.41,7.433704480662683,Nasdaq quote,68.334,15.0,20.0,15.0,6.332,3.059,5.0,3.943,0.0,4,False,"spread,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
14,ZS,"Zscaler, Inc. - Common Stock",Technology,27463303168.0,508664636.6463547,166.10000610351562,172.05,119604.0,20577868.200000003,4.045468608879648,3.582175603760218,True,True,True,6.286077942022524,True,,nasdaq_pm_volume_pct_adv,True,5.386723128658612,177.13999938964844,2.9584419585285904,3.582175603760218,3.582175603760218,0.57,Dominion Stock Clocks Best Day In 6 Years — This Analyst Sees Further Upside After NextEra Merger - Stocktwits,43.886648593333334,Google News RSS,172.17,172.5,0.1914875097919822,Nasdaq quote,66.435,14.25,8.091,15.0,12.41,3.698,5.0,4.582,3.404,5,False,score70,B,2026-09-14T09:24:21.471009-04:00,362.535
15,SAP,SAP  SE ADS,Technology,238666366976.0,493334235.0858628,205.84500122070312,214.11,52403.0,11220006.33,2.274321450253134,4.015156418802368,True,True,True,6.316429893354516,True,,nasdaq_pm_volume_pct_adv,True,2.7422480330355268,220.3300018310547,2.905049661881587,4.015156418802368,4.015156418802368,0.75,SAP's Buyback Treadmill and 400 AI Agents Can't Budge a Stock Stuck 26% Below Its Peak - ad-hoc-news.de,6.794426371111111,Google News RSS,214.42,214.56,0.06527110821017985,Nasdaq quote,65.453,18.75,4.549,15.0,12.292,3.631,1.775,5.0,4.456,5,False,score70,B,2026-09-14T09:24:21.471009-04:00,362.535
16,PANW,"Palo Alto Networks, Inc. - Common Stock",Technology,277804974080.0,2076934930.3358643,335.375,348.0,345091.0,120091668.0,5.782158422294905,3.7644427879239606,True,True,True,6.816820348491809,True,,nasdaq_pm_volume_pct_adv,True,5.561370724331961,397.30999755859375,14.169539528331532,3.7644427879239606,3.7644427879239606,0.0,,inf,Google News RSS,346.75,347.28,0.15273114995028247,Nasdaq quote,65.055,0.0,11.564,15.0,15.0,10.0,5.0,4.764,3.727,4,False,"catalyst,score70",B,2026-09-14T09:24:21.471009-04:00,362.535
