ticker,timestamp,open,high,low,close,volume,trade_count,vwap
NUAI,2026-09-21T08:00:00+00:00,5.95,5.95,5.86,5.86,1178,5,5.908256
NUAI,2026-09-21T09:30:00+00:00,6.04,6.09,6.04,6.09,14120,20,6.077819
NUAI,2026-09-21T11:00:00+00:00,6.04,6.54,5.9986,6.30,115791,366,6.330693
NUAI,2026-09-21T11:24:00+00:00,7.20,7.34,7.19,7.27,144300,777,7.277972
NUAI,2026-09-21T12:00:00+00:00,7.02,7.02,6.94,6.94,23676,144,6.988517
NUAI,2026-09-21T12:21:00+00:00,6.94,6.95,6.87,6.90,30789,92,6.894375
NUAI,2026-09-21T12:39:00+00:00,6.89,6.98,6.8712,6.98,105305,155,6.902282
NUAI,2026-09-21T12:54:00+00:00,6.86,6.87,6.83,6.83,4082,16,6.851555
NUAI,2026-09-21T13:07:00+00:00,6.82,6.95,6.82,6.8585,191355,382,6.903852
NUAI,2026-09-21T13:30:00+00:00,6.83,7.07,6.82,6.9286,996776,2790,6.910434
NUAI,2026-09-21T13:45:00+00:00,7.38,7.58,7.38,7.58,324961,1375,7.487910
WBD,2026-09-21T08:00:00+00:00,29.65,29.65,29.55,29.61,2924,20,29.607143
WBD,2026-09-21T09:11:00+00:00,29.84,30.00,29.84,30.00,45205,89,29.977361
WBD,2026-09-21T11:05:00+00:00,29.70,29.75,29.70,29.70,104372,118,29.730817
WBD,2026-09-21T11:50:00+00:00,29.84,29.85,29.80,29.80,109562,98,29.818945
WBD,2026-09-21T12:25:00+00:00,29.81,29.84,29.80,29.84,134617,29,29.823337
WBD,2026-09-21T12:44:00+00:00,29.85,29.85,29.81,29.82,229533,58,29.821478
WBD,2026-09-21T12:54:00+00:00,29.81,29.81,29.72,29.75,176895,698,29.761855
WBD,2026-09-21T13:17:00+00:00,29.80,29.81,29.80,29.81,145646,168,29.800355
WBD,2026-09-21T13:30:00+00:00,29.76,29.77,29.65,29.77,2203059,5770,29.726107
WBD,2026-09-21T13:38:00+00:00,29.80,29.85,29.79,29.845,1079393,1482,29.816456
WBD,2026-09-21T13:45:00+00:00,29.805,29.82,29.795,29.80,672290,1049,29.806059
